Age,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
35,Research & Development,25,3,4,Female,3,1,1,6640,5,No,21,3,1,3,16,1,2,6,4,3,1,No
45,Sales,7,3,1,Male,2,1,1,4950,5,No,20,1,3,2,0,5,3,8,2,5,6,No
43,Research & Development,28,4,4,Male,2,2,3,9370,5,Yes,24,3,4,0,19,2,3,20,2,11,17,No
47,Sales,25,4,3,Male,1,2,1,10480,5,No,14,3,2,0,28,3,2,6,0,5,4,No
52,Sales,27,4,4,Male,3,2,3,12080,2,Yes,21,3,3,3,34,1,3,4,0,1,3,Yes
57,Human Resources,2,2,3,Male,3,4,4,13130,0,No,17,3,1,2,7,3,4,14,1,12,3,No
25,Research & Development,22,3,1,Female,3,3,3,15440,2,Yes,12,2,3,2,35,1,3,0,0,0,0,No
42,Research & Development,25,2,4,Male,1,5,3,16980,4,No,13,3,4,1,8,2,3,16,14,13,7,No
23,Research & Development,21,4,2,Male,3,1,4,6850,9,No,23,3,4,1,29,4,3,2,0,0,0,No
48,Research & Development,16,2,3,Male,3,2,2,10430,2,No,22,3,1,2,34,1,4,15,3,2,7,No
38,Research & Development,8,4,2,Male,3,4,2,19420,1,No,15,3,4,0,39,3,3,4,3,1,2,No
54,Sales,2,2,1,Male,3,3,2,17280,2,Yes,24,3,4,3,36,6,4,5,3,4,3,No
45,Sales,24,4,2,Male,2,5,4,20000,8,No,14,3,1,3,32,0,3,15,3,14,15,No
44,Research & Development,7,2,2,Female,2,2,2,8700,5,No,21,3,1,1,8,4,3,25,11,14,22,No
51,Research & Development,2,2,4,Female,3,3,2,12490,5,No,16,3,4,1,23,4,2,23,14,1,11,No
22,Research & Development,18,4,2,Female,2,1,2,3340,8,No,12,4,2,2,14,2,4,4,3,2,0,No
48,Research & Development,23,3,4,Female,3,2,3,7630,5,No,15,4,2,3,5,1,4,9,1,1,2,No
27,Sales,28,2,4,Male,3,3,4,8480,3,No,21,3,1,0,1,4,3,8,5,6,5,No
53,Research & Development,15,3,3,Female,3,3,2,9740,2,No,24,3,2,0,10,3,2,34,18,5,11,No
27,Human Resources,6,2,1,Male,2,2,1,12050,4,Yes,23,3,2,0,34,6,3,1,0,1,1,Yes
52,Sales,17,2,3,Male,2,5,4,18450,4,Yes,11,3,4,1,7,3,4,8,8,1,4,No
46,Research & Development,12,1,1,Female,3,1,4,5030,2,Yes,17,3,3,2,5,6,3,15,10,1,11,No
36,Sales,12,3,4,Female,2,3,2,14510,10,No,15,3,4,3,27,3,3,18,2,4,6,No
39,Human Resources,3,5,3,Male,1,3,2,13190,1,No,19,3,4,0,24,2,3,9,9,4,7,No
37,Sales,21,4,3,Female,4,2,2,5350,5,Yes,22,2,2,3,4,3,3,15,13,8,15,No
54,Sales,1,4,2,Male,3,4,1,17660,1,Yes,23,3,4,0,18,2,3,4,4,1,1,No
37,Human Resources,9,3,3,Male,3,4,1,14630,3,No,22,3,2,3,6,2,3,6,6,4,4,No
52,Research & Development,23,3,4,Male,3,1,4,9790,8,No,22,3,2,2,38,3,4,11,11,4,0,No
32,Sales,10,2,1,Male,3,3,1,13530,5,No,15,2,1,2,32,3,3,14,4,0,1,No
25,Research & Development,20,2,4,Male,3,1,4,9690,8,No,15,3,2,1,39,2,3,1,0,0,0,Yes
31,Research & Development,17,4,3,Female,2,3,1,13200,6,No,15,3,3,1,20,1,2,2,1,1,2,No
38,Sales,16,2,2,Female,3,5,2,20000,3,No,21,3,2,0,30,5,3,0,0,0,0,No
27,Sales,13,3,3,Male,4,5,1,20000,9,No,16,3,4,0,27,3,3,9,9,4,6,No
43,Research & Development,16,3,1,Male,2,2,2,4960,8,Yes,20,3,4,1,1,6,3,21,10,4,9,No
49,Research & Development,26,3,2,Male,3,2,4,6160,3,Yes,11,3,4,3,7,2,3,24,14,14,1,Yes
37,Research & Development,29,4,3,Male,3,2,1,9160,4,No,16,3,3,1,10,3,3,15,12,11,9,No
55,Sales,1,4,3,Male,3,5,2,17610,0,Yes,11,3,2,0,4,4,2,10,0,8,5,Yes
54,Human Resources,17,5,2,Female,3,5,2,18770,2,No,17,3,1,2,21,3,4,21,5,9,11,No
52,Sales,7,2,1,Female,3,1,3,9630,0,No,17,2,2,0,33,3,3,4,2,4,2,No
44,Sales,13,2,3,Female,3,4,3,15150,3,Yes,22,3,3,2,29,2,3,25,19,13,18,No
27,Sales,24,3,2,Male,3,4,1,17320,1,No,23,3,3,0,38,2,3,2,0,0,0,No
53,Research & Development,14,3,4,Male,2,1,3,5950,2,No,25,3,1,2,1,1,4,20,19,9,2,No
43,Human Resources,27,4,1,Male,3,5,3,17690,6,No,23,4,2,3,15,3,4,10,5,9,6,No
45,Sales,7,2,2,Female,3,2,3,7480,3,No,24,4,2,1,15,5,4,4,2,3,2,No
21,Sales,23,5,3,Male,3,3,3,10390,7,No,15,3,2,1,0,5,3,2,1,0,0,No
46,Human Resources,21,2,4,Female,3,2,1,8950,5,No,12,3,4,0,27,4,4,26,5,8,16,No
47,Research & Development,23,1,1,Female,3,3,1,15160,2,No,18,3,1,0,33,3,4,20,4,13,10,No
34,Research & Development,6,3,4,Female,2,2,1,10990,7,No,22,4,2,3,35,3,3,2,1,0,1,No
27,Research & Development,3,5,2,Male,1,2,3,8180,8,No,14,3,2,0,17,2,3,2,1,0,2,No
30,Sales,14,2,4,Male,4,1,2,6170,1,No,12,3,1,1,20,6,3,3,3,3,2,No
40,Sales,20,5,4,Male,3,1,2,8820,4,No,25,3,3,3,35,0,2,5,4,3,2,No
51,Sales,14,2,1,Male,2,4,4,16640,5,No,19,3,4,1,16,3,3,10,5,7,2,No
27,Sales,2,2,1,Male,3,2,4,9350,8,Yes,14,3,3,1,31,1,4,2,0,1,0,No
28,Sales,24,3,2,Female,3,3,4,6750,3,No,16,3,1,2,6,4,1,10,10,1,6,No
23,Sales,15,4,3,Male,4,3,1,13090,9,No,22,4,2,2,36,1,4,5,2,2,0,No
42,Human Resources,3,3,2,Female,4,1,4,4750,1,No,21,3,4,2,7,2,4,23,9,4,11,No
42,Research & Development,16,2,3,Male,3,2,1,8330,4,Yes,18,3,4,2,9,5,3,20,16,2,9,No
48,Human Resources,10,2,1,Female,4,2,2,8070,0,Yes,20,2,1,1,6,3,4,26,8,11,8,Yes
29,Research & Development,26,2,2,Male,4,2,3,8270,3,No,19,3,2,3,11,2,2,9,4,1,6,Yes
18,Sales,6,3,3,Male,3,3,3,12890,2,No,14,3,3,3,25,4,2,0,0,0,0,No
31,Human Resources,16,3,3,Male,3,3,1,10700,2,No,20,3,1,0,9,3,3,7,7,0,7,No
43,Sales,2,2,1,Female,3,2,2,12150,4,No,19,4,1,0,32,3,3,21,15,7,1,No
59,Sales,14,4,1,Female,3,2,2,12000,1,No,22,3,3,1,37,5,3,38,29,4,18,No
59,Human Resources,24,3,3,Female,2,1,3,7990,0,No,16,3,2,1,26,5,3,15,6,1,0,No
50,Research & Development,2,4,2,Male,2,3,2,10410,10,No,23,3,4,1,9,4,4,6,5,0,3,No
25,Research & Development,4,4,3,Female,2,3,3,13960,1,Yes,24,3,2,2,28,4,3,1,0,1,1,No
18,Research & Development,8,4,3,Male,2,2,3,9480,2,No,24,3,4,1,14,1,3,0,0,0,0,No
19,Research & Development,15,2,1,Female,4,1,2,3290,10,Yes,22,2,4,2,9,5,2,1,1,1,1,Yes
51,Sales,20,5,3,Male,2,2,3,5830,4,No,19,4,4,1,12,4,2,21,12,4,16,No
53,Sales,10,3,4,Male,1,3,3,9940,1,No,23,3,4,0,3,4,3,32,22,3,3,No
47,Research & Development,11,5,4,Female,3,4,3,16800,3,No,19,3,2,2,36,3,4,16,7,3,10,No
41,Research & Development,15,1,3,Female,2,1,4,8940,3,No,22,3,3,1,33,4,4,18,15,13,14,No
27,Research & Development,17,2,3,Male,3,4,1,12760,1,No,19,3,4,0,7,3,3,1,1,1,0,No
41,Sales,10,2,1,Male,3,2,4,10810,2,No,20,3,3,0,35,2,4,13,7,9,4,No
56,Research & Development,5,4,3,Male,3,2,4,11040,2,No,12,3,3,0,25,2,1,28,23,8,20,No
54,Research & Development,21,4,3,Male,2,3,1,15320,4,No,23,2,3,0,30,3,1,34,11,0,17,No
23,Research & Development,26,3,2,Male,3,5,2,18460,1,Yes,15,3,3,0,6,3,3,1,1,0,0,No
21,Research & Development,20,5,2,Female,2,1,1,3740,7,Yes,11,4,4,0,15,4,3,3,3,0,2,Yes
58,Sales,8,5,1,Male,3,1,3,10060,4,Yes,19,3,3,2,32,2,4,23,17,5,7,No
53,Human Resources,15,1,4,Female,3,3,1,11940,0,No,22,3,2,2,22,4,3,32,18,1,10,No
26,Research & Development,24,3,2,Male,3,5,2,17750,5,No,25,3,4,1,15,3,3,3,3,2,0,No
18,Research & Development,20,3,4,Female,3,4,3,12330,5,No,16,3,3,0,1,4,4,0,0,0,0,No
18,Sales,4,3,4,Male,2,1,2,4260,8,No,15,2,3,0,14,2,3,0,0,0,0,No
56,Research & Development,7,1,4,Female,2,2,3,8030,1,Yes,24,3,3,1,11,1,2,4,1,2,4,No
19,Sales,23,3,3,Female,4,1,2,7410,4,No,25,3,2,2,26,2,3,1,1,1,0,No
44,Sales,18,3,1,Male,2,3,1,11710,5,No,17,3,1,0,10,2,2,20,3,0,15,No
34,Sales,8,2,2,Male,2,2,3,10450,8,No,23,3,4,1,37,1,4,1,1,1,0,No
46,Human Resources,2,2,3,Male,3,3,2,17840,2,Yes,21,3,2,1,39,0,3,25,13,3,10,No
30,Sales,4,2,3,Male,3,1,3,4220,4,Yes,19,3,3,1,15,1,1,2,1,2,1,No
37,Research & Development,19,4,4,Male,3,2,2,12430,0,No,23,3,1,1,35,4,3,6,1,5,1,No
47,Research & Development,20,3,4,Male,3,2,2,8970,0,No,23,4,3,3,14,3,3,6,1,3,5,No
42,Sales,7,3,4,Male,1,2,3,5670,1,No,24,3,4,0,1,1,3,7,4,2,5,Yes
24,Research & Development,1,4,1,Female,4,2,2,10810,3,No,13,3,2,1,39,4,4,0,0,0,0,No
30,Sales,7,3,3,Male,3,3,4,11200,5,No,14,3,2,0,15,1,4,2,2,2,1,No
28,Research & Development,17,3,4,Female,3,2,1,8800,5,No,25,3,4,1,37,2,4,9,0,3,3,No
43,Human Resources,7,2,4,Male,4,2,3,11300,1,Yes,16,3,2,1,29,3,3,14,7,6,6,No
32,Sales,9,3,2,Male,4,2,3,6850,6,No,22,2,1,0,12,2,3,4,2,2,1,No
52,Sales,9,1,2,Female,3,2,2,7860,4,No,20,3,3,2,9,4,3,13,7,3,8,No
23,Research & Development,11,4,3,Female,3,2,4,7870,0,Yes,21,4,2,2,31,4,4,2,0,1,1,No
52,Research & Development,10,2,1,Female,4,1,4,5200,2,No,12,3,3,3,24,2,3,34,24,6,30,No
28,Sales,4,3,2,Female,3,1,1,9380,8,No,13,3,2,1,29,1,3,2,1,1,1,No
44,Sales,16,4,2,Female,2,4,2,14730,6,No,18,2,3,0,12,3,3,8,3,0,2,No
54,Research & Development,29,3,3,Male,2,3,4,12100,2,No,13,3,3,2,11,2,2,27,14,12,21,No
20,Sales,8,4,2,Female,3,3,1,8270,5,No,17,4,3,2,7,7,2,0,0,0,0,No
22,Research & Development,21,3,3,Male,3,4,2,17350,0,Yes,24,4,2,2,31,3,2,1,1,0,1,Yes
19,Sales,20,2,2,Male,3,1,3,7600,4,Yes,22,3,2,0,34,2,3,0,0,0,0,Yes
30,Research & Development,8,3,2,Male,3,5,2,17530,1,No,19,3,4,2,10,3,1,8,1,5,5,No
52,Research & Development,13,5,1,Male,3,1,2,5960,2,No,20,3,1,2,39,2,2,13,6,4,12,No
54,Research & Development,6,2,1,Male,3,2,4,11470,5,Yes,20,3,4,2,30,1,1,28,12,7,16,No
19,Sales,20,4,1,Male,3,1,1,3400,1,No,16,3,3,1,15,5,3,1,1,0,1,No
59,Human Resources,27,2,1,Female,3,1,3,7370,7,No,12,3,3,2,38,4,3,11,7,10,0,No
30,Sales,2,3,1,Male,2,3,4,11730,8,Yes,21,2,3,0,12,2,2,3,2,2,3,Yes
41,Human Resources,13,3,3,Male,3,2,1,11540,9,No,18,3,3,0,19,3,2,23,5,8,12,No
53,Sales,20,3,2,Female,2,4,1,18460,7,No,25,3,3,1,25,6,3,31,19,2,26,No
30,Research & Development,25,3,2,Female,3,2,2,8300,5,No,11,3,4,2,15,3,4,5,5,5,5,No
34,Research & Development,20,3,3,Male,3,5,4,20000,0,No,17,3,4,0,37,6,2,6,3,1,6,No
42,Research & Development,19,2,3,Female,3,1,3,7520,5,No,12,2,3,3,25,3,1,5,3,0,0,No
44,Research & Development,21,2,3,Male,2,1,2,5310,3,Yes,12,3,2,0,11,4,2,13,7,10,9,Yes
35,Sales,3,2,3,Male,3,1,1,7560,5,Yes,23,3,4,0,33,4,3,16,8,15,15,No
41,Research & Development,22,4,4,Female,4,3,2,9580,0,No,24,3,1,1,25,3,4,4,0,4,0,No
46,Sales,20,3,4,Male,3,1,3,5780,8,No,17,3,4,3,20,3,3,15,12,2,11,No
48,Human Resources,22,4,4,Female,2,1,1,2200,3,No,12,3,3,0,5,2,3,17,14,5,14,No
23,Sales,4,3,3,Male,4,4,3,13540,1,Yes,25,3,4,0,8,5,3,3,0,2,1,No
22,Human Resources,21,2,4,Female,3,3,3,8750,9,No,24,3,2,0,7,1,4,1,0,1,0,No
55,Sales,18,2,2,Male,3,3,4,15660,1,No,13,3,1,0,29,2,4,18,7,15,14,No
20,Sales,20,2,3,Female,2,4,3,16080,4,Yes,11,3,4,0,21,1,4,2,0,2,2,No
37,Research & Development,27,3,4,Female,3,2,3,6440,10,No,24,3,3,0,12,3,3,3,1,2,0,No
59,Sales,6,3,3,Male,4,1,4,5150,1,No,18,3,4,0,9,2,4,10,0,1,5,No
55,Research & Development,14,5,3,Male,1,1,2,4560,5,No,11,3,3,2,5,4,4,24,8,14,11,No
49,Sales,21,3,3,Male,3,3,2,13690,5,No,24,3,3,1,27,2,2,20,2,5,12,No
51,Research & Development,16,1,4,Male,4,3,3,8600,1,No,21,2,4,2,0,3,4,7,0,2,3,No
20,Research & Development,3,5,3,Male,3,2,4,10210,0,No,20,4,3,2,34,2,3,2,1,2,1,No
33,Research & Development,2,2,2,Female,4,3,2,11890,2,Yes,17,3,1,0,24,3,2,14,1,4,10,No
31,Sales,3,3,2,Female,3,3,3,13640,4,No,19,2,4,0,27,2,4,3,0,2,0,No
41,Research & Development,11,4,1,Female,2,1,4,6540,1,No,20,3,2,1,19,3,4,3,2,2,2,No
38,Sales,25,3,2,Female,4,2,3,7300,6,No,22,2,1,1,9,3,2,18,8,1,11,No
46,Research & Development,12,4,3,Male,3,5,4,17530,6,No,13,3,4,1,20,4,3,2,2,0,0,No
36,Sales,18,5,4,Male,4,3,4,9320,1,No,22,3,3,1,7,2,3,0,0,0,0,No
51,Research & Development,22,3,3,Female,3,4,3,15840,1,Yes,15,3,3,3,27,3,2,7,5,3,1,No
31,Sales,1,4,3,Male,3,5,3,19740,6,Yes,16,3,3,1,22,0,3,4,2,0,0,No
49,Sales,7,1,3,Male,2,2,1,7730,4,Yes,13,3,2,1,11,3,3,28,21,14,5,No
40,Research & Development,29,4,2,Male,1,2,3,8610,7,Yes,19,3,3,2,17,1,3,15,4,10,12,No
24,Sales,26,1,2,Male,3,1,3,5460,2,No,14,3,3,0,31,1,3,4,1,4,1,No
34,Sales,23,2,4,Male,3,4,3,14310,3,Yes,11,4,3,1,14,1,3,8,3,2,6,Yes
37,Research & Development,23,3,2,Male,3,2,3,8940,2,Yes,21,3,2,1,20,4,2,0,0,0,0,No
48,Sales,9,5,1,Male,4,2,2,9690,0,Yes,14,3,4,0,23,3,3,19,11,7,8,Yes
56,Research & Development,4,1,4,Female,4,1,2,4720,0,No,22,3,2,1,12,3,2,8,3,6,8,No
53,Human Resources,12,4,3,Female,4,1,2,2870,8,No,21,2,3,2,8,2,4,3,1,3,3,Yes
50,Research & Development,13,3,2,Female,2,1,3,7650,4,Yes,14,4,3,1,33,2,4,18,8,3,5,Yes
20,Sales,21,2,4,Female,2,3,3,12410,1,No,13,3,1,0,38,6,3,2,2,1,2,No
18,Sales,27,3,3,Male,2,1,3,5690,7,No,14,3,3,2,16,4,3,0,0,0,0,No
58,Sales,26,4,2,Male,3,2,1,13090,3,No,25,3,4,0,36,3,4,18,0,9,5,No
22,Sales,14,2,4,Female,2,2,3,6530,6,No,11,3,1,2,2,1,4,2,0,2,2,No
24,Sales,18,4,2,Female,2,2,3,9770,3,Yes,15,3,2,0,17,3,2,6,0,0,4,Yes
32,Sales,1,2,2,Male,2,5,3,19380,5,No,12,4,3,3,14,1,4,5,0,4,2,No
23,Human Resources,29,1,2,Male,3,1,2,5740,7,No,24,3,2,3,17,5,3,2,2,0,0,No
42,Sales,15,4,4,Male,2,3,4,12420,2,Yes,16,4,2,0,20,3,3,13,9,12,10,No
33,Human Resources,13,3,3,Male,3,4,2,12580,4,No,19,3,3,2,5,2,1,0,0,0,0,Yes
41,Human Resources,28,4,4,Male,3,4,3,13900,8,No,17,3,2,2,7,5,4,12,11,0,11,No
55,Research & Development,3,3,3,Male,2,1,2,5060,0,No,18,3,4,1,8,3,3,19,15,13,10,No
59,Sales,2,3,2,Male,3,2,4,7220,3,No,22,3,3,0,14,2,2,5,4,3,1,No
32,Research & Development,13,2,3,Male,4,4,2,16440,2,No,14,3,2,2,27,1,2,1,1,1,0,Yes
37,Research & Development,7,3,3,Male,2,5,3,17240,4,No,23,2,2,3,0,6,4,12,8,3,5,No
26,Sales,23,3,2,Female,3,2,3,6030,0,No,23,3,4,0,10,1,3,1,0,0,0,No
56,Human Resources,21,3,4,Male,2,2,3,9260,8,Yes,13,3,3,0,39,3,4,36,31,3,0,No
23,Sales,16,1,2,Female,2,2,2,8350,0,Yes,16,3,2,1,16,4,3,1,0,1,0,No
26,Human Resources,15,3,4,Female,3,3,3,9580,1,No,13,3,3,1,15,3,3,2,0,1,1,No
32,Human Resources,13,4,3,Male,3,2,4,9860,0,Yes,14,2,4,0,27,1,3,5,2,4,3,No
27,Sales,16,2,2,Male,4,3,1,7830,6,No,13,4,2,0,1,5,3,4,2,1,0,Yes
37,Research & Development,28,4,4,Male,3,2,4,9200,0,No,25,3,4,0,22,5,3,17,5,13,11,Yes
56,Research & Development,7,1,3,Female,3,5,4,15410,5,No,24,3,2,1,9,3,3,26,8,0,14,No
58,Research & Development,19,1,2,Female,3,2,1,7480,2,No,21,4,4,1,0,2,3,19,9,3,15,No
45,Research & Development,17,5,2,Female,3,2,3,8540,1,No,24,3,3,2,18,3,4,27,3,2,25,No
57,Research & Development,14,2,3,Female,3,3,3,15520,6,No,23,3,2,2,35,2,2,30,30,3,11,No
43,Research & Development,1,5,4,Male,2,3,2,9180,7,No,16,3,1,3,2,0,2,11,8,11,9,No
45,Human Resources,8,3,2,Female,3,1,4,6050,3,No,24,3,3,1,20,3,3,3,1,0,3,No
38,Sales,7,1,1,Male,3,1,3,4880,3,No,15,3,1,2,29,3,4,5,1,5,1,No
42,Research & Development,25,2,1,Male,2,1,4,5320,7,Yes,12,4,2,0,16,4,2,15,11,6,12,Yes
22,Human Resources,7,3,2,Male,4,4,1,15460,0,Yes,13,3,3,0,21,7,3,4,4,4,0,No
25,Sales,7,3,3,Male,3,1,2,4190,7,Yes,22,2,1,2,8,2,3,1,1,1,1,No
34,Human Resources,6,2,4,Female,4,1,3,5520,4,Yes,17,3,3,1,28,2,4,10,9,1,9,No
41,Research & Development,29,3,1,Male,1,2,3,7920,2,No,14,3,4,0,1,1,4,13,12,2,5,No
25,Research & Development,1,2,1,Male,3,3,4,12430,4,No,24,3,3,0,17,3,4,1,1,1,1,No
49,Sales,16,1,2,Male,3,3,3,11030,1,Yes,21,1,4,1,0,5,3,25,1,1,10,No
37,Research & Development,9,2,2,Male,3,2,1,9920,2,No,12,3,3,3,23,5,2,7,0,0,2,No
45,Human Resources,8,2,2,Female,3,4,4,15560,8,No,25,3,4,0,19,1,3,19,12,8,5,No
55,Human Resources,29,4,4,Female,3,2,2,7910,3,No,21,3,4,1,5,2,3,5,2,4,1,No
22,Human Resources,3,5,1,Male,2,4,1,12990,0,Yes,25,3,3,3,19,3,3,4,0,1,1,No
43,Research & Development,7,1,3,Female,4,3,1,13800,3,Yes,25,2,1,1,17,0,3,14,5,4,1,No
31,Sales,5,3,3,Male,3,2,1,8620,2,No,21,3,2,0,17,3,3,6,0,5,0,No
54,Human Resources,9,2,3,Male,4,3,2,12050,2,Yes,13,3,3,1,10,4,3,18,9,0,3,No
48,Research & Development,24,2,4,Male,3,1,1,6510,7,Yes,16,1,3,0,11,6,4,5,5,0,4,No
25,Sales,2,4,3,Female,4,2,1,8240,1,Yes,11,3,3,1,22,6,3,7,4,5,7,No
39,Sales,29,3,3,Female,4,2,2,9300,3,No,22,2,3,0,9,2,1,18,13,11,6,No
35,Sales,29,3,3,Female,4,4,1,15530,8,No,23,3,3,3,17,2,1,16,10,3,13,No
40,Human Resources,10,2,1,Female,2,3,3,10960,2,No,18,2,3,0,18,0,1,9,9,1,0,No
34,Sales,5,3,2,Female,3,3,1,10460,0,Yes,17,4,2,1,5,2,1,11,3,10,10,Yes
24,Human Resources,29,2,2,Male,3,3,2,12410,4,No,17,3,2,1,19,2,3,5,3,4,1,Yes
38,Research & Development,17,5,3,Male,3,2,2,10180,0,No,20,4,3,2,39,5,4,18,16,11,4,No
36,Research & Development,2,4,2,Male,1,4,4,15800,3,Yes,12,2,4,1,21,3,4,18,15,10,1,No
31,Sales,17,2,3,Male,2,3,4,9250,2,No,14,4,1,1,12,1,1,9,1,8,1,No
50,Research & Development,15,3,4,Male,3,1,2,5310,6,Yes,14,3,3,2,7,2,3,11,2,11,10,No
36,Research & Development,10,3,4,Male,3,2,3,13590,0,No,13,3,1,1,36,2,3,1,1,0,1,No
35,Research & Development,1,5,2,Female,3,2,3,10190,2,Yes,12,3,2,2,21,3,4,4,2,2,3,No
29,Research & Development,19,4,3,Female,2,3,3,9000,4,No,23,3,1,0,10,2,3,7,7,5,3,No
33,Research & Development,4,4,2,Female,3,2,1,8600,4,Yes,18,3,1,2,38,3,1,5,2,0,5,No
34,Sales,16,3,2,Male,2,4,4,16240,1,No,12,3,3,0,8,4,3,13,9,8,13,No
59,Research & Development,17,3,4,Male,3,2,3,7610,3,Yes,18,2,3,0,4,3,2,33,19,3,7,No
36,Sales,27,2,3,Male,4,5,1,17840,4,No,11,4,3,0,3,3,4,18,15,8,0,No
39,Sales,29,4,1,Male,3,5,3,17490,7,Yes,25,2,4,3,2,2,2,13,9,11,9,No
20,Sales,4,1,3,Female,3,2,4,10930,9,Yes,18,2,4,2,34,3,3,2,2,0,2,Yes
26,Research & Development,14,4,3,Male,2,3,4,9320,2,No,24,4,2,0,0,2,4,8,0,0,3,No
38,Sales,12,3,4,Female,2,2,3,9080,4,Yes,23,4,2,2,22,4,4,14,11,4,5,No
33,Human Resources,17,4,2,Male,2,2,2,11350,9,No,24,2,4,2,33,2,4,6,0,2,5,No
47,Research & Development,4,1,4,Male,3,2,4,10600,0,No,11,3,1,0,28,0,3,5,5,3,4,No
40,Sales,1,5,4,Male,4,2,3,6240,1,Yes,20,3,3,3,3,4,3,21,9,14,13,No
47,Human Resources,24,5,2,Female,2,3,2,9440,10,No,15,3,3,0,17,2,3,25,20,0,3,No
34,Sales,28,2,3,Male,3,5,2,20000,6,Yes,23,2,4,0,39,3,4,14,2,4,12,No
27,Research & Development,28,3,1,Male,1,3,4,13950,4,Yes,20,3,1,2,16,6,1,5,4,5,0,Yes
50,Sales,15,2,1,Male,3,4,3,16870,0,No,11,3,1,1,23,2,3,23,15,9,19,No
19,Human Resources,4,3,4,Male,3,2,3,9670,2,Yes,20,3,1,2,24,4,3,0,0,0,0,No
53,Research & Development,24,3,3,Female,3,1,2,7150,3,No,22,3,4,0,15,2,4,23,7,14,10,No
44,Human Resources,12,1,3,Male,3,2,2,8390,6,Yes,16,3,4,3,15,4,3,18,4,8,9,Yes
44,Sales,17,5,3,Female,3,4,4,14340,0,Yes,12,3,3,3,6,1,1,13,0,11,2,No
40,Human Resources,5,3,3,Female,2,4,4,16780,4,No,23,4,1,2,22,5,4,20,14,13,9,No
29,Sales,24,4,4,Female,2,4,3,14560,2,No,11,3,3,1,37,2,4,3,2,3,2,No
45,Research & Development,10,2,2,Male,2,4,3,12760,10,Yes,14,3,3,1,6,2,2,9,4,7,7,No
34,Sales,20,4,4,Female,2,1,4,3740,5,Yes,14,4,4,1,12,0,4,0,0,0,0,No
26,Research & Development,27,3,4,Female,4,1,4,8430,3,Yes,19,2,2,2,22,4,4,3,0,2,1,No
50,Research & Development,22,4,3,Male,4,2,4,7250,6,No,21,3,3,3,2,5,3,15,4,12,7,No
49,Sales,10,2,3,Male,3,3,2,13550,3,No,25,3,3,0,16,3,3,15,11,15,5,No
36,Sales,22,3,4,Male,3,2,1,8570,0,No,12,3,2,3,20,2,3,5,3,2,5,No
49,Human Resources,20,3,2,Male,3,4,3,18450,0,No,16,3,2,0,28,2,3,3,2,3,1,No
46,Sales,14,2,4,Male,3,1,4,5860,4,Yes,11,3,4,0,24,1,4,11,8,1,10,No
52,Sales,13,4,2,Female,4,2,2,6820,5,No,11,2,1,3,6,3,4,2,0,1,1,No
33,Research & Development,2,2,1,Female,3,1,3,7550,1,Yes,14,2,3,2,26,0,4,4,0,4,3,No
19,Research & Development,10,2,2,Male,3,2,2,8910,0,No,18,3,3,3,34,3,3,1,1,1,0,No
43,Human Resources,25,2,2,Male,3,2,4,7000,9,Yes,15,2,4,1,15,1,3,15,7,1,15,No
54,Sales,20,3,1,Female,3,3,3,10900,2,No,13,3,3,1,5,5,3,4,3,1,0,No
30,Sales,15,4,1,Female,3,3,3,9890,1,No,25,3,1,0,18,3,4,4,4,2,4,No
31,Research & Development,26,3,3,Male,2,2,4,11980,8,No,15,3,2,1,30,0,3,2,1,0,0,No
24,Sales,18,3,1,Female,3,1,3,5760,7,No,19,1,2,0,27,3,3,4,3,2,4,No
31,Sales,9,2,3,Male,3,3,2,14790,4,No,12,3,4,2,39,3,3,2,0,0,0,No
27,Research & Development,6,3,1,Male,4,1,4,7980,3,No,19,3,4,0,25,2,3,7,5,4,5,No
58,Sales,27,2,1,Male,3,3,2,15440,1,No,16,3,2,3,29,4,3,27,6,6,12,No
18,Research & Development,7,3,3,Male,3,1,2,8520,1,No,21,3,1,0,30,2,4,0,0,0,0,Yes
48,Research & Development,20,3,3,Male,4,3,4,11500,0,Yes,16,4,2,2,8,1,4,3,0,3,0,Yes
30,Research & Development,21,3,1,Female,4,2,3,9790,7,No,14,4,3,3,25,2,3,0,0,0,0,No
46,Sales,2,2,2,Male,2,3,4,9130,0,Yes,13,3,2,1,5,3,3,3,0,1,0,No
19,Research & Development,25,2,1,Female,3,4,4,11920,2,No,20,4,4,2,8,2,3,1,0,1,0,No
29,Human Resources,10,2,3,Male,3,2,3,12580,3,No,14,3,2,3,37,2,3,3,3,2,2,No
53,Human Resources,27,4,2,Male,2,1,2,4940,8,No,21,3,3,1,20,2,3,2,1,2,0,No
39,Research & Development,21,5,2,Male,2,2,3,12980,3,No,21,3,3,2,30,4,3,11,9,5,7,No
32,Sales,25,5,4,Male,3,2,3,11330,4,Yes,16,2,2,1,33,1,4,12,2,2,10,No
27,Research & Development,26,2,2,Male,3,1,1,3560,2,Yes,16,3,3,2,9,3,4,5,0,3,1,Yes
